"fid","longitude","latitude","BD","CEC","Fragm","Sand","Silt","Clay","N","OCD","pH","SOC","A00","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","A25","A26","A27","A28","A29","A30","A31","A32","A33","A34","A35","A36","A37","A38","A39","A40","A41","A42","A43","A44","A45","A46","A47","A48","A49","A50","A51","A52","A53","A54","A55","A56","A57","A58","A59","A60","A61","A62","A63"
11,-79.2207,-7.9372,1.3709,12.2879,17.8183,79.6925,11.3747,8.8629,4.1619,14.64,7.4594,16.6657,0.0888273740868896,0.141730103806228,0.206935793925413,0.0753556324490581,-0.0888273740868896,-0.00885813148788927,0.17279507881584,0.0517339484813533,-0.0482276047673972,0.153787004998078,0.206935793925413,0.236462898885044,-0.0753556324490581,0.0517339484813533,0.103406382160707,0.0797231833910035,0.0629911572472126,-0.103406382160707,-0.130165321030373,-0.0842137639369473,0.108512110726644,0.236462898885044,-0.0935640138408305,0.0753556324490581,-0.113740868896578,0.0325413302575932,-0.0888273740868896,0.318892733564014,0.0271280276816609,-0.16,0.0448442906574394,-0.0325413302575932,0.0222068435217224,-0.153787004998078,-0.0797231833910035,0.310096116878124,0.0177777777777778,0.00615148019992311,-0.0354325259515571,0.124567474048443,0.0711111111111111,-0.0297731641676278,-0.103406382160707,-0.0797231833910035,0.0797231833910035,-0.186082276047674,0.0797231833910035,0.013840830449827,0.0246059207996924,0.0711111111111111,-0.013840830449827,0.0935640138408305,-0.0591157247212611,0.103406382160707,0.113740868896578,-0.0842137639369473,-0.0797231833910035,-0.00744329104190696,-0.318892733564014,0.0711111111111111,0.153787004998078,-0.214133025759323,0.0984236831987697,0.0448442906574394
12,-79.17,-7.8782,1.3932,13.734,16.6221,83.2067,9.8601,6.9724,3.2962,12.7134,7.7286,11.7219,-0.0711111111111111,0.0669896193771626,0.108512110726644,0.0842137639369473,-0.141730103806228,-0.0271280276816609,0.0354325259515571,0.113740868896578,-0.0354325259515571,0.0415840061514802,0.301422529796232,0.16,-0.192910419069589,0.0842137639369473,0.0842137639369473,-0.0222068435217224,0.0157477893118032,-0.0669896193771626,0.00055363321799308,-0.00615148019992311,0.192910419069589,0.327812379853902,-0.0888273740868896,-0.0711111111111111,-0.119092656670511,-0.16,-0.0797231833910035,0.0448442906574394,0.0354325259515571,-0.0842137639369473,0.108512110726644,0.0797231833910035,0.0157477893118032,-0.192910419069589,-0.0984236831987697,0.228896578239139,-0.00301422529796232,0.113740868896578,-0.00498269896193772,0.147697039600154,-0.00393694732795079,-0.0842137639369473,-0.0246059207996924,-0.179377162629758,-0.17279507881584,-0.259900038446751,0.0384467512495194,0.00393694732795079,0.0984236831987697,0.0297731641676278,0.0448442906574394,0.228896578239139,-0.0482276047673972,0.0177777777777778,0.0629911572472126,-0.0120569011918493,-0.0384467512495194,-0.103406382160707,-0.214133025759323,0.130165321030373,0.259900038446751,-0.186082276047674,0.0984236831987697,-0.055363321799308
13,-79.2676,-7.9454,1.2912,14.0779,17.5261,77.6697,15.2281,7.1022,2.9619,17.8881,7.6954,20.3201,-0.0246059207996924,0.0629911572472126,0.0517339484813533,0.0120569011918493,-0.130165321030373,0.0246059207996924,0.0177777777777778,0.186082276047674,0.0297731641676278,0.119092656670511,0.147697039600154,0.192910419069589,-0.0354325259515571,0.0199307958477509,0.166336024605921,0.0482276047673972,-0.108512110726644,-0.147697039600154,-0.119092656670511,0.00744329104190696,-0.0888273740868896,0.0984236831987697,-0.141730103806228,0.0384467512495194,-0.0482276047673972,0.206935793925413,-0.141730103806228,0.0797231833910035,-0.0669896193771626,-0.0711111111111111,-0.0482276047673972,-0.0120569011918493,-0.206935793925413,-0.0842137639369473,0.124567474048443,0.221453287197232,0.16,0.113740868896578,-0.0157477893118032,0.206935793925413,0.0669896193771626,-0.108512110726644,-0.0888273740868896,-0.0325413302575932,0.0199307958477509,-0.206935793925413,0.0842137639369473,-0.113740868896578,0.0711111111111111,0.192910419069589,-0.0325413302575932,0.147697039600154,0.0711111111111111,0.130165321030373,0.0935640138408305,-0.108512110726644,-0.0935640138408305,-0.153787004998078,-0.284444444444444,0.221453287197232,0.199861591695502,-0.25196462898885,0.0797231833910035,0.01039600153787
14,-79.2304,-7.9317,1.3535,15.0118,16.2973,76.087,14.6244,9.2402,4.0609,15.5691,7.4736,16.279,0.01039600153787,0.192910419069589,0.267958477508651,0.0384467512495194,-0.0842137639369473,0.0297731641676278,0.221453287197232,0.221453287197232,-0.0448442906574394,0.16,0.103406382160707,0.318892733564014,0.0222068435217224,0.0935640138408305,0.0448442906574394,0.108512110726644,-0.0271280276816609,-0.228896578239139,-0.17279507881584,0.0157477893118032,0.0669896193771626,0.0842137639369473,-0.055363321799308,0.0888273740868896,-0.0797231833910035,0.206935793925413,-0.119092656670511,0.284444444444444,0.0669896193771626,-0.0711111111111111,-0.0415840061514802,-0.0753556324490581,0.0354325259515571,-0.0120569011918493,-0.0271280276816609,0.276139946174548,0.0711111111111111,0.0448442906574394,-0.0415840061514802,-0.01039600153787,0.0448442906574394,-0.0984236831987697,-0.124567474048443,0.00885813148788927,0.119092656670511,-0.16,0.0517339484813533,0.0177777777777778,0.0271280276816609,0.135886197616301,-0.0325413302575932,0.0415840061514802,-0.108512110726644,0.0517339484813533,0.0711111111111111,-0.0842137639369473,-0.179377162629758,0.0199307958477509,-0.267958477508651,0.055363321799308,0.00885813148788927,-0.206935793925413,-0.0199307958477509,-0.0120569011918493
15,-79.2437,-7.9556,1.4097,12.9381,17.1885,76.1848,15.4051,8.4125,3.4056,13.6546,7.7214,17.1668,-0.0517339484813533,0.0591157247212611,0.113740868896578,-0.0415840061514802,-0.236462898885044,0.0325413302575932,-0.0177777777777778,0.16,-0.013840830449827,0.0482276047673972,0.135886197616301,0.166336024605921,-0.0591157247212611,0.0177777777777778,0.0629911572472126,0.0629911572472126,-0.135886197616301,-0.0797231833910035,-0.0199307958477509,0.0711111111111111,-0.124567474048443,0.0984236831987697,-0.119092656670511,-0.000984236831987697,-0.103406382160707,0.199861591695502,-0.179377162629758,0.0199307958477509,-0.0753556324490581,-0.0753556324490581,0.00153787004998078,-0.0797231833910035,-0.17279507881584,-0.0753556324490581,0.199861591695502,0.259900038446751,0.166336024605921,0.0297731641676278,-0.0935640138408305,0.17279507881584,-0.013840830449827,-0.0797231833910035,-0.119092656670511,-0.0177777777777778,-0.108512110726644,-0.147697039600154,0.0199307958477509,-0.0629911572472126,-0.0120569011918493,0.276139946174548,-0.0325413302575932,0.141730103806228,-0.0482276047673972,0.166336024605921,0.0935640138408305,-0.0935640138408305,-0.0415840061514802,-0.135886197616301,-0.192910419069589,0.166336024605921,0.292871972318339,-0.276139946174548,-0.0246059207996924,0.0448442906574394
16,-79.2323,-7.935,1.3575,14.2612,16.0083,77.6063,13.5109,8.891,3.9465,15.541,7.1749,14.1472,-0.00615148019992311,0.179377162629758,0.228896578239139,0.00615148019992311,-0.16,-0.0177777777777778,0.130165321030373,0.147697039600154,-0.0222068435217224,0.103406382160707,0.17279507881584,0.276139946174548,-0.0297731641676278,0.0797231833910035,0.103406382160707,0.0888273740868896,-0.01039600153787,-0.276139946174548,-0.113740868896578,-0.0384467512495194,-0.0888273740868896,0.108512110726644,-0.124567474048443,0.0888273740868896,-0.0842137639369473,0.244152249134948,-0.166336024605921,0.236462898885044,-0.0384467512495194,-0.0797231833910035,-0.0246059207996924,-0.147697039600154,-0.0629911572472126,-0.0448442906574394,0.0753556324490581,0.276139946174548,0.0325413302575932,0.0199307958477509,-0.0482276047673972,0.0753556324490581,0.0297731641676278,0.0246059207996924,-0.0888273740868896,-0.0591157247212611,-0.0246059207996924,-0.199861591695502,0.0753556324490581,-0.0448442906574394,-0.00301422529796232,0.16,-0.0177777777777778,0.0199307958477509,-0.0591157247212611,0.0629911572472126,0.130165321030373,-0.0669896193771626,-0.141730103806228,-0.0415840061514802,-0.267958477508651,0.0753556324490581,0.147697039600154,-0.244152249134948,-0.0120569011918493,0.0325413302575932
17,-79.1804,-7.8884,1.4021,15.0309,16.3299,82.0723,10.4691,7.4376,2.4976,13.1401,7.5704,9.8774,0.0120569011918493,0.16,0.153787004998078,0.055363321799308,-0.124567474048443,-0.0120569011918493,0.147697039600154,0.108512110726644,-0.0935640138408305,0.113740868896578,0.16,0.267958477508651,-0.0797231833910035,0.135886197616301,0.0888273740868896,0.055363321799308,-0.00615148019992311,-0.192910419069589,-0.179377162629758,-0.0669896193771626,0.0448442906574394,0.186082276047674,-0.119092656670511,0.0842137639369473,-0.0984236831987697,0.153787004998078,-0.141730103806228,0.284444444444444,0.0669896193771626,-0.135886197616301,-0.00301422529796232,-0.0629911572472126,-0.0842137639369473,-0.119092656670511,0.0629911572472126,0.292871972318339,-0.0325413302575932,0.103406382160707,-0.0753556324490581,0.103406382160707,-0.0199307958477509,-0.0797231833910035,-0.0797231833910035,-0.0797231833910035,0.00393694732795079,-0.192910419069589,0.119092656670511,-0.00885813148788927,-0.00744329104190696,0.0591157247212611,0.0199307958477509,0.0797231833910035,-0.0325413302575932,0.0448442906574394,0.0629911572472126,-0.108512110726644,-0.119092656670511,-0.0669896193771626,-0.327812379853902,0.0711111111111111,0.124567474048443,-0.25196462898885,0.0669896193771626,-0.00885813148788927
18,-79.2314,-7.8782,1.38,13.2104,17.3918,79.5479,12.3551,8.0828,4.933,13.1625,7.8132,10.8068,0.0415840061514802,0.0271280276816609,0.119092656670511,-0.0482276047673972,-0.135886197616301,-0.0120569011918493,0.0325413302575932,0.103406382160707,0.000246059207996924,0.055363321799308,0.124567474048443,0.192910419069589,-0.0591157247212611,-0.0271280276816609,0.135886197616301,0.0384467512495194,-0.108512110726644,-0.0753556324490581,-0.0482276047673972,0.0177777777777778,-0.130165321030373,0.113740868896578,-0.108512110726644,-0.055363321799308,-0.141730103806228,0.244152249134948,-0.147697039600154,0.119092656670511,-0.0591157247212611,-0.0935640138408305,0.0711111111111111,-0.0669896193771626,-0.130165321030373,-0.130165321030373,0.166336024605921,0.25196462898885,0.0984236831987697,0.01039600153787,0.0297731641676278,0.119092656670511,0.0354325259515571,-0.0984236831987697,-0.199861591695502,0.00498269896193772,-0.0246059207996924,-0.147697039600154,0.0120569011918493,-0.0246059207996924,-0.130165321030373,0.221453287197232,-0.0482276047673972,0.119092656670511,-0.0984236831987697,0.179377162629758,0.124567474048443,-0.124567474048443,-0.0591157247212611,-0.0629911572472126,-0.221453287197232,0.153787004998078,0.355309496347559,-0.276139946174548,-0.0711111111111111,0.0517339484813533
19,-79.2381,-7.9743,1.3115,13.2521,18.3921,79.1625,12.8601,7.9774,3.5824,17.1146,7.7012,18.8912,0.00744329104190696,0.0157477893118032,-0.0384467512495194,0.0177777777777778,-0.119092656670511,0.00301422529796232,-0.0415840061514802,0.055363321799308,-0.119092656670511,0.0517339484813533,0.214133025759323,0.147697039600154,-0.199861591695502,-0.0246059207996924,-0.00498269896193772,-0.186082276047674,0.0517339484813533,-0.0177777777777778,-0.108512110726644,0.186082276047674,0.147697039600154,0.179377162629758,-0.192910419069589,-0.0753556324490581,-0.113740868896578,0.0222068435217224,-0.0984236831987697,0.0482276047673972,-0.0591157247212611,-0.0482276047673972,0.153787004998078,0.0384467512495194,-0.147697039600154,-0.16,0.0591157247212611,0.292871972318339,-0.0384467512495194,0.0325413302575932,-0.0482276047673972,0.310096116878124,-0.0629911572472126,-0.147697039600154,-0.0629911572472126,-0.0199307958477509,-0.0842137639369473,-0.186082276047674,0.0517339484813533,-0.0753556324490581,0.0246059207996924,0.141730103806228,-0.0448442906574394,0.179377162629758,-0.00301422529796232,0.166336024605921,0.0482276047673972,-0.0935640138408305,-0.0199307958477509,-0.124567474048443,-0.214133025759323,0.206935793925413,0.25196462898885,-0.206935793925413,-0.0297731641676278,0.0448442906574394
20,-79.1951,-7.9337,1.4181,14.0546,17.5879,81.5815,10.9158,7.4968,4.2152,13.5125,7.7,12.4199,-0.0669896193771626,0.147697039600154,0.0842137639369473,-0.0482276047673972,-0.25196462898885,-0.0297731641676278,0.0354325259515571,0.267958477508651,0.013840830449827,0.0591157247212611,0.141730103806228,0.214133025759323,-0.0222068435217224,0.0591157247212611,0.108512110726644,0.0797231833910035,-0.166336024605921,-0.0984236831987697,0.00744329104190696,0.0935640138408305,-0.0888273740868896,0.0935640138408305,-0.0935640138408305,-0.113740868896578,-0.0384467512495194,0.0984236831987697,-0.135886197616301,0.0271280276816609,-0.0711111111111111,-0.0199307958477509,-0.0297731641676278,-0.0888273740868896,-0.192910419069589,-0.124567474048443,0.17279507881584,0.284444444444444,0.124567474048443,0.119092656670511,-0.0753556324490581,0.153787004998078,-0.013840830449827,-0.0711111111111111,-0.147697039600154,-0.0415840061514802,-0.0517339484813533,-0.108512110726644,0.0448442906574394,-0.0711111111111111,0.0753556324490581,0.221453287197232,0.055363321799308,0.228896578239139,0.0384467512495194,0.0797231833910035,0.0448442906574394,0.0222068435217224,-0.0246059207996924,-0.0842137639369473,-0.214133025759323,0.01039600153787,0.25196462898885,-0.292871972318339,-0.0753556324490581,0.0591157247212611
21,-79.2029,-7.8743,1.3821,14.4782,19.1488,79.4144,12.846,7.7184,5.1924,17.7837,7.6661,13.7968,-0.0120569011918493,0.119092656670511,0.0753556324490581,-0.103406382160707,-0.108512110726644,0.055363321799308,0.0591157247212611,0.228896578239139,-0.0517339484813533,0.147697039600154,0.124567474048443,0.228896578239139,0.0177777777777778,0.0935640138408305,0.103406382160707,0.221453287197232,-0.186082276047674,-0.199861591695502,-0.0888273740868896,-0.0246059207996924,-0.206935793925413,0.0271280276816609,-0.166336024605921,0.0591157247212611,-0.0517339484813533,0.214133025759323,-0.214133025759323,0.0753556324490581,-0.0984236831987697,-0.0297731641676278,-0.0842137639369473,-0.113740868896578,-0.179377162629758,-0.108512110726644,0.16,0.153787004998078,0.0753556324490581,0.0448442906574394,-0.0415840061514802,0.214133025759323,0.00615148019992311,0.00221453287197232,-0.135886197616301,-0.0629911572472126,0.0629911572472126,-0.124567474048443,-0.0246059207996924,-0.0517339484813533,-0.00498269896193772,0.214133025759323,-0.00055363321799308,0.0711111111111111,-0.0415840061514802,0.0325413302575932,0.0271280276816609,-0.108512110726644,0.0415840061514802,-0.135886197616301,-0.276139946174548,0.0935640138408305,0.141730103806228,-0.244152249134948,-0.0711111111111111,-0.0482276047673972
